label,calculate,date,year,month,day,dayofweek,dayname
Ano Novo,january 1st,20000101,2000,1,1,5,Saturday
Carnaval,47 days before easter sunday on a tuesday,20000307,2000,3,7,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20000421,2000,4,21,4,Friday
Pascoa,easter sunday,20000423,2000,4,23,6,Sunday
25 de Abril,april 25th,20000425,2000,4,25,1,Tuesday
Dia do Trabalhador,may 1th,20000501,2000,5,1,0,Monday
Dia de Portugal,june 10th,20000610,2000,6,10,5,Saturday
Corpo de Deus,"60 days after easter sunday, on a thursday",20000622,2000,6,22,3,Thursday
Assuncao Maria,august 15th,20000815,2000,8,15,1,Tuesday
Implatacao da Republica,october 5th,20001005,2000,10,5,3,Thursday
Todos os Santos,november 1st,20001101,2000,11,1,2,Wednesday
Restauracao da Independencia,december 1st,20001201,2000,12,1,4,Friday
Imaculada Conceicao,december 8th,20001208,2000,12,8,4,Friday
Natal,december 25th,20001225,2000,12,25,0,Monday
Ano Novo,january 1st,20010101,2001,1,1,0,Monday
Carnaval,47 days before easter sunday on a tuesday,20010227,2001,2,27,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20010413,2001,4,13,4,Friday
Pascoa,easter sunday,20010415,2001,4,15,6,Sunday
25 de Abril,april 25th,20010425,2001,4,25,2,Wednesday
Dia do Trabalhador,may 1th,20010501,2001,5,1,1,Tuesday
Dia de Portugal,june 10th,20010610,2001,6,10,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20010614,2001,6,14,3,Thursday
Assuncao Maria,august 15th,20010815,2001,8,15,2,Wednesday
Implatacao da Republica,october 5th,20011005,2001,10,5,4,Friday
Todos os Santos,november 1st,20011101,2001,11,1,3,Thursday
Restauracao da Independencia,december 1st,20011201,2001,12,1,5,Saturday
Imaculada Conceicao,december 8th,20011208,2001,12,8,5,Saturday
Natal,december 25th,20011225,2001,12,25,1,Tuesday
Ano Novo,january 1st,20020101,2002,1,1,1,Tuesday
Carnaval,47 days before easter sunday on a tuesday,20020212,2002,2,12,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20020329,2002,3,29,4,Friday
Pascoa,easter sunday,20020331,2002,3,31,6,Sunday
25 de Abril,april 25th,20020425,2002,4,25,3,Thursday
Dia do Trabalhador,may 1th,20020501,2002,5,1,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20020530,2002,5,30,3,Thursday
Dia de Portugal,june 10th,20020610,2002,6,10,0,Monday
Assuncao Maria,august 15th,20020815,2002,8,15,3,Thursday
Implatacao da Republica,october 5th,20021005,2002,10,5,5,Saturday
Todos os Santos,november 1st,20021101,2002,11,1,4,Friday
Restauracao da Independencia,december 1st,20021201,2002,12,1,6,Sunday
Imaculada Conceicao,december 8th,20021208,2002,12,8,6,Sunday
Natal,december 25th,20021225,2002,12,25,2,Wednesday
Ano Novo,january 1st,20030101,2003,1,1,2,Wednesday
Carnaval,47 days before easter sunday on a tuesday,20030304,2003,3,4,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20030418,2003,4,18,4,Friday
Pascoa,easter sunday,20030420,2003,4,20,6,Sunday
25 de Abril,april 25th,20030425,2003,4,25,4,Friday
Dia do Trabalhador,may 1th,20030501,2003,5,1,3,Thursday
Dia de Portugal,june 10th,20030610,2003,6,10,1,Tuesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20030619,2003,6,19,3,Thursday
Assuncao Maria,august 15th,20030815,2003,8,15,4,Friday
Implatacao da Republica,october 5th,20031005,2003,10,5,6,Sunday
Todos os Santos,november 1st,20031101,2003,11,1,5,Saturday
Restauracao da Independencia,december 1st,20031201,2003,12,1,0,Monday
Imaculada Conceicao,december 8th,20031208,2003,12,8,0,Monday
Natal,december 25th,20031225,2003,12,25,3,Thursday
Ano Novo,january 1st,20040101,2004,1,1,3,Thursday
Carnaval,47 days before easter sunday on a tuesday,20040224,2004,2,24,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20040409,2004,4,9,4,Friday
Pascoa,easter sunday,20040411,2004,4,11,6,Sunday
25 de Abril,april 25th,20040425,2004,4,25,6,Sunday
Dia do Trabalhador,may 1th,20040501,2004,5,1,5,Saturday
Corpo de Deus,"60 days after easter sunday, on a thursday",20040610,2004,6,10,3,Thursday
Dia de Portugal,june 10th,20040610,2004,6,10,3,Thursday
Assuncao Maria,august 15th,20040815,2004,8,15,6,Sunday
Implatacao da Republica,october 5th,20041005,2004,10,5,1,Tuesday
Todos os Santos,november 1st,20041101,2004,11,1,0,Monday
Restauracao da Independencia,december 1st,20041201,2004,12,1,2,Wednesday
Imaculada Conceicao,december 8th,20041208,2004,12,8,2,Wednesday
Natal,december 25th,20041225,2004,12,25,5,Saturday
Ano Novo,january 1st,20050101,2005,1,1,5,Saturday
Carnaval,47 days before easter sunday on a tuesday,20050208,2005,2,8,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20050325,2005,3,25,4,Friday
Pascoa,easter sunday,20050327,2005,3,27,6,Sunday
25 de Abril,april 25th,20050425,2005,4,25,0,Monday
Dia do Trabalhador,may 1th,20050501,2005,5,1,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20050526,2005,5,26,3,Thursday
Dia de Portugal,june 10th,20050610,2005,6,10,4,Friday
Assuncao Maria,august 15th,20050815,2005,8,15,0,Monday
Implatacao da Republica,october 5th,20051005,2005,10,5,2,Wednesday
Todos os Santos,november 1st,20051101,2005,11,1,1,Tuesday
Restauracao da Independencia,december 1st,20051201,2005,12,1,3,Thursday
Imaculada Conceicao,december 8th,20051208,2005,12,8,3,Thursday
Natal,december 25th,20051225,2005,12,25,6,Sunday
Ano Novo,january 1st,20060101,2006,1,1,6,Sunday
Carnaval,47 days before easter sunday on a tuesday,20060228,2006,2,28,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20060414,2006,4,14,4,Friday
Pascoa,easter sunday,20060416,2006,4,16,6,Sunday
25 de Abril,april 25th,20060425,2006,4,25,1,Tuesday
Dia do Trabalhador,may 1th,20060501,2006,5,1,0,Monday
Dia de Portugal,june 10th,20060610,2006,6,10,5,Saturday
Corpo de Deus,"60 days after easter sunday, on a thursday",20060615,2006,6,15,3,Thursday
Assuncao Maria,august 15th,20060815,2006,8,15,1,Tuesday
Implatacao da Republica,october 5th,20061005,2006,10,5,3,Thursday
Todos os Santos,november 1st,20061101,2006,11,1,2,Wednesday
Restauracao da Independencia,december 1st,20061201,2006,12,1,4,Friday
Imaculada Conceicao,december 8th,20061208,2006,12,8,4,Friday
Natal,december 25th,20061225,2006,12,25,0,Monday
Ano Novo,january 1st,20070101,2007,1,1,0,Monday
Carnaval,47 days before easter sunday on a tuesday,20070220,2007,2,20,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20070406,2007,4,6,4,Friday
Pascoa,easter sunday,20070408,2007,4,8,6,Sunday
25 de Abril,april 25th,20070425,2007,4,25,2,Wednesday
Dia do Trabalhador,may 1th,20070501,2007,5,1,1,Tuesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20070607,2007,6,7,3,Thursday
Dia de Portugal,june 10th,20070610,2007,6,10,6,Sunday
Assuncao Maria,august 15th,20070815,2007,8,15,2,Wednesday
Implatacao da Republica,october 5th,20071005,2007,10,5,4,Friday
Todos os Santos,november 1st,20071101,2007,11,1,3,Thursday
Restauracao da Independencia,december 1st,20071201,2007,12,1,5,Saturday
Imaculada Conceicao,december 8th,20071208,2007,12,8,5,Saturday
Natal,december 25th,20071225,2007,12,25,1,Tuesday
Ano Novo,january 1st,20080101,2008,1,1,1,Tuesday
Carnaval,47 days before easter sunday on a tuesday,20080205,2008,2,5,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20080321,2008,3,21,4,Friday
Pascoa,easter sunday,20080323,2008,3,23,6,Sunday
25 de Abril,april 25th,20080425,2008,4,25,4,Friday
Dia do Trabalhador,may 1th,20080501,2008,5,1,3,Thursday
Corpo de Deus,"60 days after easter sunday, on a thursday",20080522,2008,5,22,3,Thursday
Dia de Portugal,june 10th,20080610,2008,6,10,1,Tuesday
Assuncao Maria,august 15th,20080815,2008,8,15,4,Friday
Implatacao da Republica,october 5th,20081005,2008,10,5,6,Sunday
Todos os Santos,november 1st,20081101,2008,11,1,5,Saturday
Restauracao da Independencia,december 1st,20081201,2008,12,1,0,Monday
Imaculada Conceicao,december 8th,20081208,2008,12,8,0,Monday
Natal,december 25th,20081225,2008,12,25,3,Thursday
Ano Novo,january 1st,20090101,2009,1,1,3,Thursday
Carnaval,47 days before easter sunday on a tuesday,20090224,2009,2,24,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20090410,2009,4,10,4,Friday
Pascoa,easter sunday,20090412,2009,4,12,6,Sunday
25 de Abril,april 25th,20090425,2009,4,25,5,Saturday
Dia do Trabalhador,may 1th,20090501,2009,5,1,4,Friday
Dia de Portugal,june 10th,20090610,2009,6,10,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20090611,2009,6,11,3,Thursday
Assuncao Maria,august 15th,20090815,2009,8,15,5,Saturday
Implatacao da Republica,october 5th,20091005,2009,10,5,0,Monday
Todos os Santos,november 1st,20091101,2009,11,1,6,Sunday
Restauracao da Independencia,december 1st,20091201,2009,12,1,1,Tuesday
Imaculada Conceicao,december 8th,20091208,2009,12,8,1,Tuesday
Natal,december 25th,20091225,2009,12,25,4,Friday
Ano Novo,january 1st,20100101,2010,1,1,4,Friday
Carnaval,47 days before easter sunday on a tuesday,20100216,2010,2,16,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20100402,2010,4,2,4,Friday
Pascoa,easter sunday,20100404,2010,4,4,6,Sunday
25 de Abril,april 25th,20100425,2010,4,25,6,Sunday
Dia do Trabalhador,may 1th,20100501,2010,5,1,5,Saturday
Corpo de Deus,"60 days after easter sunday, on a thursday",20100603,2010,6,3,3,Thursday
Dia de Portugal,june 10th,20100610,2010,6,10,3,Thursday
Assuncao Maria,august 15th,20100815,2010,8,15,6,Sunday
Implatacao da Republica,october 5th,20101005,2010,10,5,1,Tuesday
Todos os Santos,november 1st,20101101,2010,11,1,0,Monday
Restauracao da Independencia,december 1st,20101201,2010,12,1,2,Wednesday
Imaculada Conceicao,december 8th,20101208,2010,12,8,2,Wednesday
Natal,december 25th,20101225,2010,12,25,5,Saturday
Ano Novo,january 1st,20110101,2011,1,1,5,Saturday
Carnaval,47 days before easter sunday on a tuesday,20110308,2011,3,8,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20110422,2011,4,22,4,Friday
Pascoa,easter sunday,20110424,2011,4,24,6,Sunday
25 de Abril,april 25th,20110425,2011,4,25,0,Monday
Dia do Trabalhador,may 1th,20110501,2011,5,1,6,Sunday
Dia de Portugal,june 10th,20110610,2011,6,10,4,Friday
Corpo de Deus,"60 days after easter sunday, on a thursday",20110623,2011,6,23,3,Thursday
Assuncao Maria,august 15th,20110815,2011,8,15,0,Monday
Implatacao da Republica,october 5th,20111005,2011,10,5,2,Wednesday
Todos os Santos,november 1st,20111101,2011,11,1,1,Tuesday
Restauracao da Independencia,december 1st,20111201,2011,12,1,3,Thursday
Imaculada Conceicao,december 8th,20111208,2011,12,8,3,Thursday
Natal,december 25th,20111225,2011,12,25,6,Sunday
Ano Novo,january 1st,20120101,2012,1,1,6,Sunday
Carnaval,47 days before easter sunday on a tuesday,20120221,2012,2,21,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20120406,2012,4,6,4,Friday
Pascoa,easter sunday,20120408,2012,4,8,6,Sunday
25 de Abril,april 25th,20120425,2012,4,25,2,Wednesday
Dia do Trabalhador,may 1th,20120501,2012,5,1,1,Tuesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20120607,2012,6,7,3,Thursday
Dia de Portugal,june 10th,20120610,2012,6,10,6,Sunday
Assuncao Maria,august 15th,20120815,2012,8,15,2,Wednesday
Implatacao da Republica,october 5th,20121005,2012,10,5,4,Friday
Todos os Santos,november 1st,20121101,2012,11,1,3,Thursday
Restauracao da Independencia,december 1st,20121201,2012,12,1,5,Saturday
Imaculada Conceicao,december 8th,20121208,2012,12,8,5,Saturday
Natal,december 25th,20121225,2012,12,25,1,Tuesday
Ano Novo,january 1st,20130101,2013,1,1,1,Tuesday
Carnaval,47 days before easter sunday on a tuesday,20130212,2013,2,12,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20130329,2013,3,29,4,Friday
Pascoa,easter sunday,20130331,2013,3,31,6,Sunday
25 de Abril,april 25th,20130425,2013,4,25,3,Thursday
Dia do Trabalhador,may 1th,20130501,2013,5,1,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20130530,2013,5,30,3,Thursday
Dia de Portugal,june 10th,20130610,2013,6,10,0,Monday
Assuncao Maria,august 15th,20130815,2013,8,15,3,Thursday
Implatacao da Republica,october 5th,20131005,2013,10,5,5,Saturday
Todos os Santos,november 1st,20131101,2013,11,1,4,Friday
Restauracao da Independencia,december 1st,20131201,2013,12,1,6,Sunday
Imaculada Conceicao,december 8th,20131208,2013,12,8,6,Sunday
Natal,december 25th,20131225,2013,12,25,2,Wednesday
Ano Novo,january 1st,20140101,2014,1,1,2,Wednesday
Carnaval,47 days before easter sunday on a tuesday,20140304,2014,3,4,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20140418,2014,4,18,4,Friday
Pascoa,easter sunday,20140420,2014,4,20,6,Sunday
25 de Abril,april 25th,20140425,2014,4,25,4,Friday
Dia do Trabalhador,may 1th,20140501,2014,5,1,3,Thursday
Dia de Portugal,june 10th,20140610,2014,6,10,1,Tuesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20140619,2014,6,19,3,Thursday
Assuncao Maria,august 15th,20140815,2014,8,15,4,Friday
Implatacao da Republica,october 5th,20141005,2014,10,5,6,Sunday
Todos os Santos,november 1st,20141101,2014,11,1,5,Saturday
Restauracao da Independencia,december 1st,20141201,2014,12,1,0,Monday
Imaculada Conceicao,december 8th,20141208,2014,12,8,0,Monday
Natal,december 25th,20141225,2014,12,25,3,Thursday
Ano Novo,january 1st,20150101,2015,1,1,3,Thursday
Carnaval,47 days before easter sunday on a tuesday,20150217,2015,2,17,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20150403,2015,4,3,4,Friday
Pascoa,easter sunday,20150405,2015,4,5,6,Sunday
25 de Abril,april 25th,20150425,2015,4,25,5,Saturday
Dia do Trabalhador,may 1th,20150501,2015,5,1,4,Friday
Corpo de Deus,"60 days after easter sunday, on a thursday",20150604,2015,6,4,3,Thursday
Dia de Portugal,june 10th,20150610,2015,6,10,2,Wednesday
Assuncao Maria,august 15th,20150815,2015,8,15,5,Saturday
Implatacao da Republica,october 5th,20151005,2015,10,5,0,Monday
Todos os Santos,november 1st,20151101,2015,11,1,6,Sunday
Restauracao da Independencia,december 1st,20151201,2015,12,1,1,Tuesday
Imaculada Conceicao,december 8th,20151208,2015,12,8,1,Tuesday
Natal,december 25th,20151225,2015,12,25,4,Friday
Ano Novo,january 1st,20160101,2016,1,1,4,Friday
Carnaval,47 days before easter sunday on a tuesday,20160209,2016,2,9,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20160325,2016,3,25,4,Friday
Pascoa,easter sunday,20160327,2016,3,27,6,Sunday
25 de Abril,april 25th,20160425,2016,4,25,0,Monday
Dia do Trabalhador,may 1th,20160501,2016,5,1,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20160526,2016,5,26,3,Thursday
Dia de Portugal,june 10th,20160610,2016,6,10,4,Friday
Assuncao Maria,august 15th,20160815,2016,8,15,0,Monday
Implatacao da Republica,october 5th,20161005,2016,10,5,2,Wednesday
Todos os Santos,november 1st,20161101,2016,11,1,1,Tuesday
Restauracao da Independencia,december 1st,20161201,2016,12,1,3,Thursday
Imaculada Conceicao,december 8th,20161208,2016,12,8,3,Thursday
Natal,december 25th,20161225,2016,12,25,6,Sunday
Ano Novo,january 1st,20170101,2017,1,1,6,Sunday
Carnaval,47 days before easter sunday on a tuesday,20170228,2017,2,28,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20170414,2017,4,14,4,Friday
Pascoa,easter sunday,20170416,2017,4,16,6,Sunday
25 de Abril,april 25th,20170425,2017,4,25,1,Tuesday
Dia do Trabalhador,may 1th,20170501,2017,5,1,0,Monday
Dia de Portugal,june 10th,20170610,2017,6,10,5,Saturday
Corpo de Deus,"60 days after easter sunday, on a thursday",20170615,2017,6,15,3,Thursday
Assuncao Maria,august 15th,20170815,2017,8,15,1,Tuesday
Implatacao da Republica,october 5th,20171005,2017,10,5,3,Thursday
Todos os Santos,november 1st,20171101,2017,11,1,2,Wednesday
Restauracao da Independencia,december 1st,20171201,2017,12,1,4,Friday
Imaculada Conceicao,december 8th,20171208,2017,12,8,4,Friday
Natal,december 25th,20171225,2017,12,25,0,Monday
Ano Novo,january 1st,20180101,2018,1,1,0,Monday
Carnaval,47 days before easter sunday on a tuesday,20180213,2018,2,13,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20180330,2018,3,30,4,Friday
Pascoa,easter sunday,20180401,2018,4,1,6,Sunday
25 de Abril,april 25th,20180425,2018,4,25,2,Wednesday
Dia do Trabalhador,may 1th,20180501,2018,5,1,1,Tuesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20180531,2018,5,31,3,Thursday
Dia de Portugal,june 10th,20180610,2018,6,10,6,Sunday
Assuncao Maria,august 15th,20180815,2018,8,15,2,Wednesday
Implatacao da Republica,october 5th,20181005,2018,10,5,4,Friday
Todos os Santos,november 1st,20181101,2018,11,1,3,Thursday
Restauracao da Independencia,december 1st,20181201,2018,12,1,5,Saturday
Imaculada Conceicao,december 8th,20181208,2018,12,8,5,Saturday
Natal,december 25th,20181225,2018,12,25,1,Tuesday
Ano Novo,january 1st,20190101,2019,1,1,1,Tuesday
Carnaval,47 days before easter sunday on a tuesday,20190305,2019,3,5,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20190419,2019,4,19,4,Friday
Pascoa,easter sunday,20190421,2019,4,21,6,Sunday
25 de Abril,april 25th,20190425,2019,4,25,3,Thursday
Dia do Trabalhador,may 1th,20190501,2019,5,1,2,Wednesday
Dia de Portugal,june 10th,20190610,2019,6,10,0,Monday
Corpo de Deus,"60 days after easter sunday, on a thursday",20190620,2019,6,20,3,Thursday
Assuncao Maria,august 15th,20190815,2019,8,15,3,Thursday
Implatacao da Republica,october 5th,20191005,2019,10,5,5,Saturday
Todos os Santos,november 1st,20191101,2019,11,1,4,Friday
Restauracao da Independencia,december 1st,20191201,2019,12,1,6,Sunday
Imaculada Conceicao,december 8th,20191208,2019,12,8,6,Sunday
Natal,december 25th,20191225,2019,12,25,2,Wednesday
Ano Novo,january 1st,20200101,2020,1,1,2,Wednesday
Carnaval,47 days before easter sunday on a tuesday,20200225,2020,2,25,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20200410,2020,4,10,4,Friday
Pascoa,easter sunday,20200412,2020,4,12,6,Sunday
25 de Abril,april 25th,20200425,2020,4,25,5,Saturday
Dia do Trabalhador,may 1th,20200501,2020,5,1,4,Friday
Dia de Portugal,june 10th,20200610,2020,6,10,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20200611,2020,6,11,3,Thursday
Assuncao Maria,august 15th,20200815,2020,8,15,5,Saturday
Implatacao da Republica,october 5th,20201005,2020,10,5,0,Monday
Todos os Santos,november 1st,20201101,2020,11,1,6,Sunday
Restauracao da Independencia,december 1st,20201201,2020,12,1,1,Tuesday
Imaculada Conceicao,december 8th,20201208,2020,12,8,1,Tuesday
Natal,december 25th,20201225,2020,12,25,4,Friday
Ano Novo,january 1st,20210101,2021,1,1,4,Friday
Carnaval,47 days before easter sunday on a tuesday,20210216,2021,2,16,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20210402,2021,4,2,4,Friday
Pascoa,easter sunday,20210404,2021,4,4,6,Sunday
25 de Abril,april 25th,20210425,2021,4,25,6,Sunday
Dia do Trabalhador,may 1th,20210501,2021,5,1,5,Saturday
Corpo de Deus,"60 days after easter sunday, on a thursday",20210603,2021,6,3,3,Thursday
Dia de Portugal,june 10th,20210610,2021,6,10,3,Thursday
Assuncao Maria,august 15th,20210815,2021,8,15,6,Sunday
Implatacao da Republica,october 5th,20211005,2021,10,5,1,Tuesday
Todos os Santos,november 1st,20211101,2021,11,1,0,Monday
Restauracao da Independencia,december 1st,20211201,2021,12,1,2,Wednesday
Imaculada Conceicao,december 8th,20211208,2021,12,8,2,Wednesday
Natal,december 25th,20211225,2021,12,25,5,Saturday
Ano Novo,january 1st,20220101,2022,1,1,5,Saturday
Carnaval,47 days before easter sunday on a tuesday,20220301,2022,3,1,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20220415,2022,4,15,4,Friday
Pascoa,easter sunday,20220417,2022,4,17,6,Sunday
25 de Abril,april 25th,20220425,2022,4,25,0,Monday
Dia do Trabalhador,may 1th,20220501,2022,5,1,6,Sunday
Dia de Portugal,june 10th,20220610,2022,6,10,4,Friday
Corpo de Deus,"60 days after easter sunday, on a thursday",20220616,2022,6,16,3,Thursday
Assuncao Maria,august 15th,20220815,2022,8,15,0,Monday
Implatacao da Republica,october 5th,20221005,2022,10,5,2,Wednesday
Todos os Santos,november 1st,20221101,2022,11,1,1,Tuesday
Restauracao da Independencia,december 1st,20221201,2022,12,1,3,Thursday
Imaculada Conceicao,december 8th,20221208,2022,12,8,3,Thursday
Natal,december 25th,20221225,2022,12,25,6,Sunday
Ano Novo,january 1st,20230101,2023,1,1,6,Sunday
Carnaval,47 days before easter sunday on a tuesday,20230221,2023,2,21,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20230407,2023,4,7,4,Friday
Pascoa,easter sunday,20230409,2023,4,9,6,Sunday
25 de Abril,april 25th,20230425,2023,4,25,1,Tuesday
Dia do Trabalhador,may 1th,20230501,2023,5,1,0,Monday
Corpo de Deus,"60 days after easter sunday, on a thursday",20230608,2023,6,8,3,Thursday
Dia de Portugal,june 10th,20230610,2023,6,10,5,Saturday
Assuncao Maria,august 15th,20230815,2023,8,15,1,Tuesday
Implatacao da Republica,october 5th,20231005,2023,10,5,3,Thursday
Todos os Santos,november 1st,20231101,2023,11,1,2,Wednesday
Restauracao da Independencia,december 1st,20231201,2023,12,1,4,Friday
Imaculada Conceicao,december 8th,20231208,2023,12,8,4,Friday
Natal,december 25th,20231225,2023,12,25,0,Monday
Ano Novo,january 1st,20240101,2024,1,1,0,Monday
Carnaval,47 days before easter sunday on a tuesday,20240213,2024,2,13,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20240329,2024,3,29,4,Friday
Pascoa,easter sunday,20240331,2024,3,31,6,Sunday
25 de Abril,april 25th,20240425,2024,4,25,3,Thursday
Dia do Trabalhador,may 1th,20240501,2024,5,1,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20240530,2024,5,30,3,Thursday
Dia de Portugal,june 10th,20240610,2024,6,10,0,Monday
Assuncao Maria,august 15th,20240815,2024,8,15,3,Thursday
Implatacao da Republica,october 5th,20241005,2024,10,5,5,Saturday
Todos os Santos,november 1st,20241101,2024,11,1,4,Friday
Restauracao da Independencia,december 1st,20241201,2024,12,1,6,Sunday
Imaculada Conceicao,december 8th,20241208,2024,12,8,6,Sunday
Natal,december 25th,20241225,2024,12,25,2,Wednesday
Ano Novo,january 1st,20250101,2025,1,1,2,Wednesday
Carnaval,47 days before easter sunday on a tuesday,20250304,2025,3,4,1,Tuesday
