label,calculate,date,year,month,day,dayofweek,dayname
Implatacao da Republica,october 5th,20751005,2075,10,5,5,Saturday
Todos os Santos,november 1st,20751101,2075,11,1,4,Friday
Restauracao da Independencia,december 1st,20751201,2075,12,1,6,Sunday
Imaculada Conceicao,december 8th,20751208,2075,12,8,6,Sunday
Natal,december 25th,20751225,2075,12,25,2,Wednesday
Ano Novo,january 1st,20760101,2076,1,1,2,Wednesday
Carnaval,47 days before easter sunday on a tuesday,20760303,2076,3,3,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20760417,2076,4,17,4,Friday
Pascoa,easter sunday,20760419,2076,4,19,6,Sunday
25 de Abril,april 25th,20760425,2076,4,25,5,Saturday
Dia do Trabalhador,may 1th,20760501,2076,5,1,4,Friday
Dia de Portugal,june 10th,20760610,2076,6,10,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20760618,2076,6,18,3,Thursday
Assuncao Maria,august 15th,20760815,2076,8,15,5,Saturday
Implatacao da Republica,october 5th,20761005,2076,10,5,0,Monday
Todos os Santos,november 1st,20761101,2076,11,1,6,Sunday
Restauracao da Independencia,december 1st,20761201,2076,12,1,1,Tuesday
Imaculada Conceicao,december 8th,20761208,2076,12,8,1,Tuesday
Natal,december 25th,20761225,2076,12,25,4,Friday
Ano Novo,january 1st,20770101,2077,1,1,4,Friday
Carnaval,47 days before easter sunday on a tuesday,20770223,2077,2,23,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20770409,2077,4,9,4,Friday
Pascoa,easter sunday,20770411,2077,4,11,6,Sunday
25 de Abril,april 25th,20770425,2077,4,25,6,Sunday
Dia do Trabalhador,may 1th,20770501,2077,5,1,5,Saturday
Dia de Portugal,june 10th,20770610,2077,6,10,3,Thursday
Corpo de Deus,"60 days after easter sunday, on a thursday",20770610,2077,6,10,3,Thursday
Assuncao Maria,august 15th,20770815,2077,8,15,6,Sunday
Implatacao da Republica,october 5th,20771005,2077,10,5,1,Tuesday
Todos os Santos,november 1st,20771101,2077,11,1,0,Monday
Restauracao da Independencia,december 1st,20771201,2077,12,1,2,Wednesday
Imaculada Conceicao,december 8th,20771208,2077,12,8,2,Wednesday
Natal,december 25th,20771225,2077,12,25,5,Saturday
Ano Novo,january 1st,20780101,2078,1,1,5,Saturday
Carnaval,47 days before easter sunday on a tuesday,20780215,2078,2,15,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20780401,2078,4,1,4,Friday
Pascoa,easter sunday,20780403,2078,4,3,6,Sunday
25 de Abril,april 25th,20780425,2078,4,25,0,Monday
Dia do Trabalhador,may 1th,20780501,2078,5,1,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20780602,2078,6,2,3,Thursday
Dia de Portugal,june 10th,20780610,2078,6,10,4,Friday
Assuncao Maria,august 15th,20780815,2078,8,15,0,Monday
Implatacao da Republica,october 5th,20781005,2078,10,5,2,Wednesday
Todos os Santos,november 1st,20781101,2078,11,1,1,Tuesday
Restauracao da Independencia,december 1st,20781201,2078,12,1,3,Thursday
Imaculada Conceicao,december 8th,20781208,2078,12,8,3,Thursday
Natal,december 25th,20781225,2078,12,25,6,Sunday
Ano Novo,january 1st,20790101,2079,1,1,6,Sunday
Carnaval,47 days before easter sunday on a tuesday,20790307,2079,3,7,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20790421,2079,4,21,4,Friday
Pascoa,easter sunday,20790423,2079,4,23,6,Sunday
25 de Abril,april 25th,20790425,2079,4,25,1,Tuesday
Dia do Trabalhador,may 1th,20790501,2079,5,1,0,Monday
Dia de Portugal,june 10th,20790610,2079,6,10,5,Saturday
Corpo de Deus,"60 days after easter sunday, on a thursday",20790622,2079,6,22,3,Thursday
Assuncao Maria,august 15th,20790815,2079,8,15,1,Tuesday
Implatacao da Republica,october 5th,20791005,2079,10,5,3,Thursday
Todos os Santos,november 1st,20791101,2079,11,1,2,Wednesday
Restauracao da Independencia,december 1st,20791201,2079,12,1,4,Friday
Imaculada Conceicao,december 8th,20791208,2079,12,8,4,Friday
Natal,december 25th,20791225,2079,12,25,0,Monday
Ano Novo,january 1st,20800101,2080,1,1,0,Monday
Carnaval,47 days before easter sunday on a tuesday,20800220,2080,2,20,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20800405,2080,4,5,4,Friday
Pascoa,easter sunday,20800407,2080,4,7,6,Sunday
25 de Abril,april 25th,20800425,2080,4,25,3,Thursday
Dia do Trabalhador,may 1th,20800501,2080,5,1,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20800606,2080,6,6,3,Thursday
Dia de Portugal,june 10th,20800610,2080,6,10,0,Monday
Assuncao Maria,august 15th,20800815,2080,8,15,3,Thursday
Implatacao da Republica,october 5th,20801005,2080,10,5,5,Saturday
Todos os Santos,november 1st,20801101,2080,11,1,4,Friday
Restauracao da Independencia,december 1st,20801201,2080,12,1,6,Sunday
Imaculada Conceicao,december 8th,20801208,2080,12,8,6,Sunday
Natal,december 25th,20801225,2080,12,25,2,Wednesday
Ano Novo,january 1st,20810101,2081,1,1,2,Wednesday
Carnaval,47 days before easter sunday on a tuesday,20810211,2081,2,11,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20810328,2081,3,28,4,Friday
Pascoa,easter sunday,20810330,2081,3,30,6,Sunday
25 de Abril,april 25th,20810425,2081,4,25,4,Friday
Dia do Trabalhador,may 1th,20810501,2081,5,1,3,Thursday
Corpo de Deus,"60 days after easter sunday, on a thursday",20810529,2081,5,29,3,Thursday
Dia de Portugal,june 10th,20810610,2081,6,10,1,Tuesday
Assuncao Maria,august 15th,20810815,2081,8,15,4,Friday
Implatacao da Republica,october 5th,20811005,2081,10,5,6,Sunday
Todos os Santos,november 1st,20811101,2081,11,1,5,Saturday
Restauracao da Independencia,december 1st,20811201,2081,12,1,0,Monday
Imaculada Conceicao,december 8th,20811208,2081,12,8,0,Monday
Natal,december 25th,20811225,2081,12,25,3,Thursday
Ano Novo,january 1st,20820101,2082,1,1,3,Thursday
Carnaval,47 days before easter sunday on a tuesday,20820303,2082,3,3,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20820417,2082,4,17,4,Friday
Pascoa,easter sunday,20820419,2082,4,19,6,Sunday
25 de Abril,april 25th,20820425,2082,4,25,5,Saturday
Dia do Trabalhador,may 1th,20820501,2082,5,1,4,Friday
Dia de Portugal,june 10th,20820610,2082,6,10,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20820618,2082,6,18,3,Thursday
Assuncao Maria,august 15th,20820815,2082,8,15,5,Saturday
Implatacao da Republica,october 5th,20821005,2082,10,5,0,Monday
Todos os Santos,november 1st,20821101,2082,11,1,6,Sunday
Restauracao da Independencia,december 1st,20821201,2082,12,1,1,Tuesday
Imaculada Conceicao,december 8th,20821208,2082,12,8,1,Tuesday
Natal,december 25th,20821225,2082,12,25,4,Friday
Ano Novo,january 1st,20830101,2083,1,1,4,Friday
Carnaval,47 days before easter sunday on a tuesday,20830216,2083,2,16,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20830402,2083,4,2,4,Friday
Pascoa,easter sunday,20830404,2083,4,4,6,Sunday
25 de Abril,april 25th,20830425,2083,4,25,6,Sunday
Dia do Trabalhador,may 1th,20830501,2083,5,1,5,Saturday
Corpo de Deus,"60 days after easter sunday, on a thursday",20830603,2083,6,3,3,Thursday
Dia de Portugal,june 10th,20830610,2083,6,10,3,Thursday
Assuncao Maria,august 15th,20830815,2083,8,15,6,Sunday
Implatacao da Republica,october 5th,20831005,2083,10,5,1,Tuesday
Todos os Santos,november 1st,20831101,2083,11,1,0,Monday
Restauracao da Independencia,december 1st,20831201,2083,12,1,2,Wednesday
Imaculada Conceicao,december 8th,20831208,2083,12,8,2,Wednesday
Natal,december 25th,20831225,2083,12,25,5,Saturday
Ano Novo,january 1st,20840101,2084,1,1,5,Saturday
Carnaval,47 days before easter sunday on a tuesday,20840208,2084,2,8,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20840324,2084,3,24,4,Friday
Pascoa,easter sunday,20840326,2084,3,26,6,Sunday
25 de Abril,april 25th,20840425,2084,4,25,1,Tuesday
Dia do Trabalhador,may 1th,20840501,2084,5,1,0,Monday
Corpo de Deus,"60 days after easter sunday, on a thursday",20840525,2084,5,25,3,Thursday
Dia de Portugal,june 10th,20840610,2084,6,10,5,Saturday
Assuncao Maria,august 15th,20840815,2084,8,15,1,Tuesday
Implatacao da Republica,october 5th,20841005,2084,10,5,3,Thursday
Todos os Santos,november 1st,20841101,2084,11,1,2,Wednesday
Restauracao da Independencia,december 1st,20841201,2084,12,1,4,Friday
Imaculada Conceicao,december 8th,20841208,2084,12,8,4,Friday
Natal,december 25th,20841225,2084,12,25,0,Monday
Ano Novo,january 1st,20850101,2085,1,1,0,Monday
Carnaval,47 days before easter sunday on a tuesday,20850227,2085,2,27,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20850413,2085,4,13,4,Friday
Pascoa,easter sunday,20850415,2085,4,15,6,Sunday
25 de Abril,april 25th,20850425,2085,4,25,2,Wednesday
Dia do Trabalhador,may 1th,20850501,2085,5,1,1,Tuesday
Dia de Portugal,june 10th,20850610,2085,6,10,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20850614,2085,6,14,3,Thursday
Assuncao Maria,august 15th,20850815,2085,8,15,2,Wednesday
Implatacao da Republica,october 5th,20851005,2085,10,5,4,Friday
Todos os Santos,november 1st,20851101,2085,11,1,3,Thursday
Restauracao da Independencia,december 1st,20851201,2085,12,1,5,Saturday
Imaculada Conceicao,december 8th,20851208,2085,12,8,5,Saturday
Natal,december 25th,20851225,2085,12,25,1,Tuesday
Ano Novo,january 1st,20860101,2086,1,1,1,Tuesday
Carnaval,47 days before easter sunday on a tuesday,20860212,2086,2,12,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20860329,2086,3,29,4,Friday
Pascoa,easter sunday,20860331,2086,3,31,6,Sunday
25 de Abril,april 25th,20860425,2086,4,25,3,Thursday
Dia do Trabalhador,may 1th,20860501,2086,5,1,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20860530,2086,5,30,3,Thursday
Dia de Portugal,june 10th,20860610,2086,6,10,0,Monday
Assuncao Maria,august 15th,20860815,2086,8,15,3,Thursday
Implatacao da Republica,october 5th,20861005,2086,10,5,5,Saturday
Todos os Santos,november 1st,20861101,2086,11,1,4,Friday
Restauracao da Independencia,december 1st,20861201,2086,12,1,6,Sunday
Imaculada Conceicao,december 8th,20861208,2086,12,8,6,Sunday
Natal,december 25th,20861225,2086,12,25,2,Wednesday
Ano Novo,january 1st,20870101,2087,1,1,2,Wednesday
Carnaval,47 days before easter sunday on a tuesday,20870304,2087,3,4,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20870418,2087,4,18,4,Friday
Pascoa,easter sunday,20870420,2087,4,20,6,Sunday
25 de Abril,april 25th,20870425,2087,4,25,4,Friday
Dia do Trabalhador,may 1th,20870501,2087,5,1,3,Thursday
Dia de Portugal,june 10th,20870610,2087,6,10,1,Tuesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20870619,2087,6,19,3,Thursday
Assuncao Maria,august 15th,20870815,2087,8,15,4,Friday
Implatacao da Republica,october 5th,20871005,2087,10,5,6,Sunday
Todos os Santos,november 1st,20871101,2087,11,1,5,Saturday
Restauracao da Independencia,december 1st,20871201,2087,12,1,0,Monday
Imaculada Conceicao,december 8th,20871208,2087,12,8,0,Monday
Natal,december 25th,20871225,2087,12,25,3,Thursday
Ano Novo,january 1st,20880101,2088,1,1,3,Thursday
Carnaval,47 days before easter sunday on a tuesday,20880224,2088,2,24,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20880409,2088,4,9,4,Friday
Pascoa,easter sunday,20880411,2088,4,11,6,Sunday
25 de Abril,april 25th,20880425,2088,4,25,6,Sunday
Dia do Trabalhador,may 1th,20880501,2088,5,1,5,Saturday
Dia de Portugal,june 10th,20880610,2088,6,10,3,Thursday
Corpo de Deus,"60 days after easter sunday, on a thursday",20880610,2088,6,10,3,Thursday
Assuncao Maria,august 15th,20880815,2088,8,15,6,Sunday
Implatacao da Republica,october 5th,20881005,2088,10,5,1,Tuesday
Todos os Santos,november 1st,20881101,2088,11,1,0,Monday
Restauracao da Independencia,december 1st,20881201,2088,12,1,2,Wednesday
Imaculada Conceicao,december 8th,20881208,2088,12,8,2,Wednesday
Natal,december 25th,20881225,2088,12,25,5,Saturday
Ano Novo,january 1st,20890101,2089,1,1,5,Saturday
Carnaval,47 days before easter sunday on a tuesday,20890215,2089,2,15,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20890401,2089,4,1,4,Friday
Pascoa,easter sunday,20890403,2089,4,3,6,Sunday
25 de Abril,april 25th,20890425,2089,4,25,0,Monday
Dia do Trabalhador,may 1th,20890501,2089,5,1,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20890602,2089,6,2,3,Thursday
Dia de Portugal,june 10th,20890610,2089,6,10,4,Friday
Assuncao Maria,august 15th,20890815,2089,8,15,0,Monday
Implatacao da Republica,october 5th,20891005,2089,10,5,2,Wednesday
Todos os Santos,november 1st,20891101,2089,11,1,1,Tuesday
Restauracao da Independencia,december 1st,20891201,2089,12,1,3,Thursday
Imaculada Conceicao,december 8th,20891208,2089,12,8,3,Thursday
Natal,december 25th,20891225,2089,12,25,6,Sunday
Ano Novo,january 1st,20900101,2090,1,1,6,Sunday
Carnaval,47 days before easter sunday on a tuesday,20900228,2090,2,28,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20900414,2090,4,14,4,Friday
Pascoa,easter sunday,20900416,2090,4,16,6,Sunday
25 de Abril,april 25th,20900425,2090,4,25,1,Tuesday
Dia do Trabalhador,may 1th,20900501,2090,5,1,0,Monday
Dia de Portugal,june 10th,20900610,2090,6,10,5,Saturday
Corpo de Deus,"60 days after easter sunday, on a thursday",20900615,2090,6,15,3,Thursday
Assuncao Maria,august 15th,20900815,2090,8,15,1,Tuesday
Implatacao da Republica,october 5th,20901005,2090,10,5,3,Thursday
Todos os Santos,november 1st,20901101,2090,11,1,2,Wednesday
Restauracao da Independencia,december 1st,20901201,2090,12,1,4,Friday
Imaculada Conceicao,december 8th,20901208,2090,12,8,4,Friday
Natal,december 25th,20901225,2090,12,25,0,Monday
Ano Novo,january 1st,20910101,2091,1,1,0,Monday
Carnaval,47 days before easter sunday on a tuesday,20910220,2091,2,20,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20910406,2091,4,6,4,Friday
Pascoa,easter sunday,20910408,2091,4,8,6,Sunday
25 de Abril,april 25th,20910425,2091,4,25,2,Wednesday
Dia do Trabalhador,may 1th,20910501,2091,5,1,1,Tuesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20910607,2091,6,7,3,Thursday
Dia de Portugal,june 10th,20910610,2091,6,10,6,Sunday
Assuncao Maria,august 15th,20910815,2091,8,15,2,Wednesday
Implatacao da Republica,october 5th,20911005,2091,10,5,4,Friday
Todos os Santos,november 1st,20911101,2091,11,1,3,Thursday
Restauracao da Independencia,december 1st,20911201,2091,12,1,5,Saturday
Imaculada Conceicao,december 8th,20911208,2091,12,8,5,Saturday
Natal,december 25th,20911225,2091,12,25,1,Tuesday
Ano Novo,january 1st,20920101,2092,1,1,1,Tuesday
Carnaval,47 days before easter sunday on a tuesday,20920212,2092,2,12,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20920328,2092,3,28,4,Friday
Pascoa,easter sunday,20920330,2092,3,30,6,Sunday
25 de Abril,april 25th,20920425,2092,4,25,4,Friday
Dia do Trabalhador,may 1th,20920501,2092,5,1,3,Thursday
Corpo de Deus,"60 days after easter sunday, on a thursday",20920529,2092,5,29,3,Thursday
Dia de Portugal,june 10th,20920610,2092,6,10,1,Tuesday
Assuncao Maria,august 15th,20920815,2092,8,15,4,Friday
Implatacao da Republica,october 5th,20921005,2092,10,5,6,Sunday
Todos os Santos,november 1st,20921101,2092,11,1,5,Saturday
Restauracao da Independencia,december 1st,20921201,2092,12,1,0,Monday
Imaculada Conceicao,december 8th,20921208,2092,12,8,0,Monday
Natal,december 25th,20921225,2092,12,25,3,Thursday
Ano Novo,january 1st,20930101,2093,1,1,3,Thursday
Carnaval,47 days before easter sunday on a tuesday,20930224,2093,2,24,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20930410,2093,4,10,4,Friday
Pascoa,easter sunday,20930412,2093,4,12,6,Sunday
25 de Abril,april 25th,20930425,2093,4,25,5,Saturday
Dia do Trabalhador,may 1th,20930501,2093,5,1,4,Friday
Dia de Portugal,june 10th,20930610,2093,6,10,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20930611,2093,6,11,3,Thursday
Assuncao Maria,august 15th,20930815,2093,8,15,5,Saturday
Implatacao da Republica,october 5th,20931005,2093,10,5,0,Monday
Todos os Santos,november 1st,20931101,2093,11,1,6,Sunday
Restauracao da Independencia,december 1st,20931201,2093,12,1,1,Tuesday
Imaculada Conceicao,december 8th,20931208,2093,12,8,1,Tuesday
Natal,december 25th,20931225,2093,12,25,4,Friday
Ano Novo,january 1st,20940101,2094,1,1,4,Friday
Carnaval,47 days before easter sunday on a tuesday,20940216,2094,2,16,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20940402,2094,4,2,4,Friday
Pascoa,easter sunday,20940404,2094,4,4,6,Sunday
25 de Abril,april 25th,20940425,2094,4,25,6,Sunday
Dia do Trabalhador,may 1th,20940501,2094,5,1,5,Saturday
Corpo de Deus,"60 days after easter sunday, on a thursday",20940603,2094,6,3,3,Thursday
Dia de Portugal,june 10th,20940610,2094,6,10,3,Thursday
Assuncao Maria,august 15th,20940815,2094,8,15,6,Sunday
Implatacao da Republica,october 5th,20941005,2094,10,5,1,Tuesday
Todos os Santos,november 1st,20941101,2094,11,1,0,Monday
Restauracao da Independencia,december 1st,20941201,2094,12,1,2,Wednesday
Imaculada Conceicao,december 8th,20941208,2094,12,8,2,Wednesday
Natal,december 25th,20941225,2094,12,25,5,Saturday
Ano Novo,january 1st,20950101,2095,1,1,5,Saturday
Carnaval,47 days before easter sunday on a tuesday,20950308,2095,3,8,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20950422,2095,4,22,4,Friday
Pascoa,easter sunday,20950424,2095,4,24,6,Sunday
25 de Abril,april 25th,20950425,2095,4,25,0,Monday
Dia do Trabalhador,may 1th,20950501,2095,5,1,6,Sunday
Dia de Portugal,june 10th,20950610,2095,6,10,4,Friday
Corpo de Deus,"60 days after easter sunday, on a thursday",20950623,2095,6,23,3,Thursday
Assuncao Maria,august 15th,20950815,2095,8,15,0,Monday
Implatacao da Republica,october 5th,20951005,2095,10,5,2,Wednesday
Todos os Santos,november 1st,20951101,2095,11,1,1,Tuesday
Restauracao da Independencia,december 1st,20951201,2095,12,1,3,Thursday
Imaculada Conceicao,december 8th,20951208,2095,12,8,3,Thursday
Natal,december 25th,20951225,2095,12,25,6,Sunday
Ano Novo,january 1st,20960101,2096,1,1,6,Sunday
Carnaval,47 days before easter sunday on a tuesday,20960228,2096,2,28,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20960413,2096,4,13,4,Friday
Pascoa,easter sunday,20960415,2096,4,15,6,Sunday
25 de Abril,april 25th,20960425,2096,4,25,2,Wednesday
Dia do Trabalhador,may 1th,20960501,2096,5,1,1,Tuesday
Dia de Portugal,june 10th,20960610,2096,6,10,6,Sunday
Corpo de Deus,"60 days after easter sunday, on a thursday",20960614,2096,6,14,3,Thursday
Assuncao Maria,august 15th,20960815,2096,8,15,2,Wednesday
Implatacao da Republica,october 5th,20961005,2096,10,5,4,Friday
Todos os Santos,november 1st,20961101,2096,11,1,3,Thursday
Restauracao da Independencia,december 1st,20961201,2096,12,1,5,Saturday
Imaculada Conceicao,december 8th,20961208,2096,12,8,5,Saturday
Natal,december 25th,20961225,2096,12,25,1,Tuesday
Ano Novo,january 1st,20970101,2097,1,1,1,Tuesday
Carnaval,47 days before easter sunday on a tuesday,20970212,2097,2,12,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20970329,2097,3,29,4,Friday
Pascoa,easter sunday,20970331,2097,3,31,6,Sunday
25 de Abril,april 25th,20970425,2097,4,25,3,Thursday
Dia do Trabalhador,may 1th,20970501,2097,5,1,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20970530,2097,5,30,3,Thursday
Dia de Portugal,june 10th,20970610,2097,6,10,0,Monday
Assuncao Maria,august 15th,20970815,2097,8,15,3,Thursday
Implatacao da Republica,october 5th,20971005,2097,10,5,5,Saturday
Todos os Santos,november 1st,20971101,2097,11,1,4,Friday
Restauracao da Independencia,december 1st,20971201,2097,12,1,6,Sunday
Imaculada Conceicao,december 8th,20971208,2097,12,8,6,Sunday
Natal,december 25th,20971225,2097,12,25,2,Wednesday
Ano Novo,january 1st,20980101,2098,1,1,2,Wednesday
Carnaval,47 days before easter sunday on a tuesday,20980304,2098,3,4,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20980418,2098,4,18,4,Friday
Pascoa,easter sunday,20980420,2098,4,20,6,Sunday
25 de Abril,april 25th,20980425,2098,4,25,4,Friday
Dia do Trabalhador,may 1th,20980501,2098,5,1,3,Thursday
Dia de Portugal,june 10th,20980610,2098,6,10,1,Tuesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20980619,2098,6,19,3,Thursday
Assuncao Maria,august 15th,20980815,2098,8,15,4,Friday
Implatacao da Republica,october 5th,20981005,2098,10,5,6,Sunday
Todos os Santos,november 1st,20981101,2098,11,1,5,Saturday
Restauracao da Independencia,december 1st,20981201,2098,12,1,0,Monday
Imaculada Conceicao,december 8th,20981208,2098,12,8,0,Monday
Natal,december 25th,20981225,2098,12,25,3,Thursday
Ano Novo,january 1st,20990101,2099,1,1,3,Thursday
Carnaval,47 days before easter sunday on a tuesday,20990224,2099,2,24,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,20990410,2099,4,10,4,Friday
Pascoa,easter sunday,20990412,2099,4,12,6,Sunday
25 de Abril,april 25th,20990425,2099,4,25,5,Saturday
Dia do Trabalhador,may 1th,20990501,2099,5,1,4,Friday
Dia de Portugal,june 10th,20990610,2099,6,10,2,Wednesday
Corpo de Deus,"60 days after easter sunday, on a thursday",20990611,2099,6,11,3,Thursday
Assuncao Maria,august 15th,20990815,2099,8,15,5,Saturday
Implatacao da Republica,october 5th,20991005,2099,10,5,0,Monday
Todos os Santos,november 1st,20991101,2099,11,1,6,Sunday
Restauracao da Independencia,december 1st,20991201,2099,12,1,1,Tuesday
Imaculada Conceicao,december 8th,20991208,2099,12,8,1,Tuesday
Natal,december 25th,20991225,2099,12,25,4,Friday
Ano Novo,january 1st,21000101,2100,1,1,4,Friday
Carnaval,47 days before easter sunday on a tuesday,21000209,2100,2,9,1,Tuesday
Sexta-Feira Santa,friday right before easter sunday,21000326,2100,3,26,4,Friday
Pascoa,easter sunday,21000328,2100,3,28,6,Sunday
25 de Abril,april 25th,21000425,2100,4,25,6,Sunday
Dia do Trabalhador,may 1th,21000501,2100,5,1,5,Saturday
Corpo de Deus,"60 days after easter sunday, on a thursday",21000527,2100,5,27,3,Thursday
Dia de Portugal,june 10th,21000610,2100,6,10,3,Thursday
Assuncao Maria,august 15th,21000815,2100,8,15,6,Sunday
Implatacao da Republica,october 5th,21001005,2100,10,5,1,Tuesday
Todos os Santos,november 1st,21001101,2100,11,1,0,Monday
Restauracao da Independencia,december 1st,21001201,2100,12,1,2,Wednesday
Imaculada Conceicao,december 8th,21001208,2100,12,8,2,Wednesday
Natal,december 25th,21001225,2100,12,25,5,Saturday
